1 UFXRTTE rock 1.1 true 300 1.0
2 UFXRTTE wood 2.1 false 300 1.0
3 b54d1bfb-0ff2-45dc-bed1-43c360a02afc rock 1.1 true 10 1.2
5c30e5dc-562e-48e0-810c-40901cea721e 04c5816e-1a23-4a6b-adf1-872675765e81 rock 10.0 true 9 8.0
654b3bc3-800c-4d82-b3f1-85abeda32410 f20e995a-b113-4447-8266-a66f56361248 rock 10.0 true 10 20.0
9f2abb37-3dcc-4741-ba26-3c5791107124 5b72a5c6-da41-44c0-8f0c-9ad252e10de4 wood 10.0 true 20 10.0
f13016b0-1892-419c-bf87-5c084781c99f f9e7b160-5896-4ffc-be98-458d1d643c14 rock 10.0 true 20 30.0
55db640a-3df5-488d-b40f-00f9bdef1f90 38cc585d-3062-4c6b-8df9-44e466ca2f95 rock 10.0 true 20 30.0
0731f517-2095-4be1-8ac0-7dfe5ae4c193 772441e3-2ce9-486e-9917-a9b6626d1af0 rock 10.0 true 20 30.0
4de3a64f-57fb-4bcf-bd4f-e640b7b83ed3 797baa55-fd20-4aca-9c1d-3f1bf098d1f4 rock 10.0 true 10 10.0
12f0bfb4-4bff-47a0-8a64-c9a18c074db9 0b3a88b7-0374-4e2f-bd5c-66981c0c0a5b rock 10.0 true 10 10.0
17f62809-cbd4-42bf-926b-55c2f0e0a560 1665cbdc-2915-4f7f-9f1d-3d3e87daa664 rock 10.0 true 10 10.0
